BLK_NO,STREET,MAX_FLOOR_LEVEL,YEAR_COMPLETED,RESIDENTIAL,COMMERCIAL,MARKET_HAWKER,MULTISTOREY_CARPARK,TOTAL_DWELLING_UNITS,REMAINING_LEASE,ADDRESS,lat,lon,postal
103,BT PURMEI RD,11,1982,Y,Y,N,N,119,55,103 BT PURMEI RD Singapore,1.272085585,103.8254956,090103
103,C'WEALTH CRES,10,1964,Y,N,N,N,99,37,103 C'WEALTH CRES Singapore,1.3071,103.8001,140103
103,CANBERRA ST,1,2020,N,N,N,N,0,93,103 CANBERRA ST Singapore,1.450676054,103.8307576,750103
103,CLEMENTI ST 14,14,1984,Y,N,N,N,104,57,103 CLEMENTI ST 14 Singapore,1.322588548,103.7691762,120103
103,EDGEFIELD PLAINS,1,2001,N,N,N,N,0,74,103 EDGEFIELD PLAINS Singapore,1.397473398,103.9048218,820103
103,GANGSA RD,4,1986,Y,Y,N,N,26,59,103 GANGSA RD Singapore,1.378670708,103.7685384,670103
103,HENDERSON CRES,14,1967,Y,N,N,N,140,40,103 HENDERSON CRES Singapore,1.289742097,103.8213757,150103
103,HOUGANG AVE 1,13,1983,Y,N,N,N,81,56,103 HOUGANG AVE 1 Singapore,1.355282234,103.8903601,530103
103,JLN RAJAH,25,1983,Y,N,N,N,144,56,103 JLN RAJAH Singapore,1.327341433,103.8527807,321103
103,JURONG EAST ST 13,25,1982,Y,N,N,N,96,55,103 JURONG EAST ST 13 Singapore,1.33668715,103.7380592,600103
103,LENGKONG TIGA,14,1988,Y,N,N,N,73,61,103 LENGKONG TIGA Singapore,1.325855463,103.9105989,410103
103,LOR 1 TOA PAYOH,10,1967,Y,N,N,N,159,40,103 LOR 1 TOA PAYOH Singapore,1.34010929,103.8481846,310103
103,PASIR RIS ST 12,13,1988,Y,N,N,N,96,61,103 PASIR RIS ST 12 Singapore,1.367695081,103.9584042,510103
103,POTONG PASIR AVE 1,4,1983,Y,N,N,N,63,56,103 POTONG PASIR AVE 1 Singapore,1.334113387,103.8695237,350103
103,RIVERVALE WALK,17,1998,Y,N,N,N,123,71,103 RIVERVALE WALK Singapore,1.382911467,103.9012086,540103
103,SERANGOON NTH AVE 1,13,1984,Y,N,N,N,144,57,103 SERANGOON NTH AVE 1 Singapore,1.37067353,103.8702639,550103
103,SPOTTISWOODE PK RD,25,1976,Y,N,N,N,94,49,103 SPOTTISWOODE PK RD Singapore,1.2745,103.8345,080103
103,TAMPINES ST 11,10,1982,Y,N,N,N,126,55,103 TAMPINES ST 11 Singapore,1.347696625,103.9462299,520103
103,TECK WHYE LANE,9,1988,Y,Y,N,N,80,61,103 TECK WHYE LANE Singapore,1.377130782,103.753556,680103
103,TOWNER RD,11,1982,Y,N,N,N,80,55,103 TOWNER RD Singapore,1.320643815,103.8616341,322103
103,WOODLANDS ST 13,4,1984,Y,N,N,N,32,57,103 WOODLANDS ST 13 Singapore,1.436621232,103.7809767,730103
