BLK_NO,STREET,MAX_FLOOR_LEVEL,YEAR_COMPLETED,RESIDENTIAL,COMMERCIAL,MARKET_HAWKER,MULTISTOREY_CARPARK,TOTAL_DWELLING_UNITS,REMAINING_LEASE,ADDRESS,lat,lon,postal
102,WOODLANDS ST 13,12,1984,Y,N,N,N,110,57,102 WOODLANDS ST 13 Singapore,1.43608294925148,103.781199565987,730102
102A,BIDADARI PK DR,16,2020,Y,N,N,N,205,93,102A BIDADARI PK DR Singapore,,,
102A,CANBERRA ST,17,2019,Y,N,N,N,190,92,102A CANBERRA ST Singapore,1.45119390519494,103.832227554636,751102
102A,DEPOT RD,21,2016,Y,N,N,N,114,89,102A DEPOT RD Singapore,1.28029134553105,103.81333235886,101102
102A,PUNGGOL FIELD,17,2001,Y,N,N,N,85,74,102A PUNGGOL FIELD Singapore,1.39883318313425,103.905783553043,821102
102A,RIVERVALE WALK,5,1997,N,N,N,Y,0,70,102A RIVERVALE WALK Singapore,1.38215139024135,103.900075103796,541102
102B,BIDADARI PK DR,16,2020,Y,N,N,N,200,93,102B BIDADARI PK DR Singapore,,,
102B,CANBERRA ST,16,2019,Y,N,N,N,210,92,102B CANBERRA ST Singapore,1.45123970424367,103.83143636512,752102
102B,PUNGGOL FIELD,17,2001,Y,N,N,N,86,74,102B PUNGGOL FIELD Singapore,1.39908525778671,103.905471407838,822102
102C,CANBERRA ST,1,2020,N,N,N,N,0,93,102C CANBERRA ST Singapore,1.4515599303551,103.831765050319,753102
102C,PUNGGOL FIELD,17,2000,Y,N,N,N,92,73,102C PUNGGOL FIELD Singapore,1.39876127750607,103.90493897318,823102
102D,PUNGGOL FIELD,16,2001,Y,N,N,N,82,74,102D PUNGGOL FIELD Singapore,1.39848070795436,103.905249752459,824102
103,AH HOOD RD,25,1981,Y,N,N,N,96,54,103 AH HOOD RD Singapore,1.32796267483785,103.844826964123,320103
103,ALJUNIED CRES,12,1977,Y,N,N,N,154,50,103 ALJUNIED CRES Singapore,1.32051692193259,103.883270319267,380103
103,ANG MO KIO AVE 3,12,1977,Y,N,N,N,131,50,103 ANG MO KIO AVE 3 Singapore,1.37101657804604,103.839304839187,560103
103,BEDOK RESERVOIR RD,12,1985,Y,Y,N,N,154,58,103 BEDOK RESERVOIR RD Singapore,1.32877022232019,103.909381354431,470103
103,BEDOK NTH AVE 4,14,1976,Y,N,N,N,154,49,103 BEDOK NTH AVE 4 Singapore,1.33348258777759,103.937542520091,460103
103,BISHAN ST 12,25,1986,Y,N,N,N,92,59,103 BISHAN ST 12 Singapore,1.34551249132105,103.848314162387,570103
103,BT BATOK CTRL,13,1984,Y,N,N,N,96,57,103 BT BATOK CTRL Singapore,1.34822368204242,103.748034526478,650103
103,BT PURMEI RD,11,1982,Y,Y,N,N,119,55,103 BT PURMEI RD Singapore,1.27208558524996,103.825495615402,090103
103,C'WEALTH CRES,10,1964,Y,N,N,N,99,37,103 C'WEALTH CRES Singapore,,,
103,CANBERRA ST,1,2020,N,N,N,N,0,93,103 CANBERRA ST Singapore,1.4506760541128,103.830757597034,750103
103,CLEMENTI ST 14,14,1984,Y,N,N,N,104,57,103 CLEMENTI ST 14 Singapore,1.32258854750628,103.769176205799,120103
103,EDGEFIELD PLAINS,1,2001,N,N,N,N,0,74,103 EDGEFIELD PLAINS Singapore,1.39747339816869,103.904821824666,820103
103,GANGSA RD,4,1986,Y,Y,N,N,26,59,103 GANGSA RD Singapore,1.37867070821171,103.768538440957,670103
103,HENDERSON CRES,14,1967,Y,N,N,N,140,40,103 HENDERSON CRES Singapore,1.28974209684545,103.821375681569,150103
103,HOUGANG AVE 1,13,1983,Y,N,N,N,81,56,103 HOUGANG AVE 1 Singapore,1.35528223434405,103.89036014824,530103
103,JLN RAJAH,25,1983,Y,N,N,N,144,56,103 JLN RAJAH Singapore,1.32734143333539,103.852780650365,321103
103,JURONG EAST ST 13,25,1982,Y,N,N,N,96,55,103 JURONG EAST ST 13 Singapore,1.33668715015786,103.738059200285,600103
103,LENGKONG TIGA,14,1988,Y,N,N,N,73,61,103 LENGKONG TIGA Singapore,1.32585546338587,103.910598910975,410103
103,LOR 1 TOA PAYOH,10,1967,Y,N,N,N,159,40,103 LOR 1 TOA PAYOH Singapore,1.34010929042644,103.848184574089,310103
103,PASIR RIS ST 12,13,1988,Y,N,N,N,96,61,103 PASIR RIS ST 12 Singapore,1.36769508123853,103.958404209993,510103
103,POTONG PASIR AVE 1,4,1983,Y,N,N,N,63,56,103 POTONG PASIR AVE 1 Singapore,1.33411338676706,103.86952371664,350103
103,RIVERVALE WALK,17,1998,Y,N,N,N,123,71,103 RIVERVALE WALK Singapore,1.38291146712108,103.901208583313,540103
